recurso,edificio,capacidad,dia,hora,programa,materia,docente,estudiantes,title_original
SA401,SA,25,Martes,06:00-07:00,1155504-C(35),No especificado,No especificado,35,"Carrera   : Ingenieria De Sistemas
Materia   : ARQUITECTURA DE COMPUTADORES
Docente : REY CASTILLO JONATHAN ROLANDO
No.Alumnos: 35"
SA401,SA,25,Jueves,06:00-07:00,1154104-A(26),No especificado,No especificado,26,"Carrera   : Ingenieria De Sistemas
Materia   : FUNDAMENTOS DE PROGRAMACION
Docente : PEREZ GUTIERREZ BORIS RAINIERO
No.Alumnos: 26"
SA401,SA,25,Viernes,06:00-07:00,1155606-A(25),No especificado,No especificado,25,"Carrera   : Ingenieria De Sistemas
Materia   : PROGRAMACION WEB
Docente : ESTEBAN CARRILLO DANIEL ANDRES
No.Alumnos: 25"
SA401,SA,25,Martes,07:00-08:00,1155504-C(35),No especificado,No especificado,35,"Carrera   : Ingenieria De Sistemas
Materia   : ARQUITECTURA DE COMPUTADORES
Docente : REY CASTILLO JONATHAN ROLANDO
No.Alumnos: 35"
SA401,SA,25,Miércoles,07:00-08:00,1155504-C(35),No especificado,No especificado,35,"Carrera   : Ingenieria De Sistemas
Materia   : ARQUITECTURA DE COMPUTADORES
Docente : REY CASTILLO JONATHAN ROLANDO
No.Alumnos: 35"
SA401,SA,25,Jueves,07:00-08:00,1154104-A(26),No especificado,No especificado,26,"Carrera   : Ingenieria De Sistemas
Materia   : FUNDAMENTOS DE PROGRAMACION
Docente : PEREZ GUTIERREZ BORIS RAINIERO
No.Alumnos: 26"
SA401,SA,25,Viernes,07:00-08:00,1155606-A(25),No especificado,No especificado,25,"Carrera   : Ingenieria De Sistemas
Materia   : PROGRAMACION WEB
Docente : ESTEBAN CARRILLO DANIEL ANDRES
No.Alumnos: 25"
SA401,SA,25,Lunes,08:00-09:00,1155605-B(35),No especificado,No especificado,35,"Carrera   : Ingenieria De Sistemas
Materia   : BASES DE DATOS
Docente : ANGARITA SANGUINO CARLOS RENE
No.Alumnos: 35"
SA401,SA,25,Martes,08:00-09:00,1155705-B(31),No especificado,No especificado,31,"Carrera   : Ingenieria De Sistemas
Materia   : ANALISIS Y DISE?O DE SISTEMAS
Docente : RODRIGUEZ TENJO JUDITH DEL PILAR
No.Alumnos: 31"
SA401,SA,25,Miércoles,08:00-09:00,1154304-A(28),No especificado,No especificado,28,"Carrera   : Ingenieria De Sistemas
Materia   : ESTRUCTURA DE DATOS
Docente : ADARME JAIMES MARCO ANTONIO
No.Alumnos: 28"
SA401,SA,25,Viernes,08:00-09:00,1154104-A(26),No especificado,No especificado,26,"Carrera   : Ingenieria De Sistemas
Materia   : FUNDAMENTOS DE PROGRAMACION
Docente : PEREZ GUTIERREZ BORIS RAINIERO
No.Alumnos: 26"
SA401,SA,25,Lunes,09:00-10:00,1155605-B(35),No especificado,No especificado,35,"Carrera   : Ingenieria De Sistemas
Materia   : BASES DE DATOS
Docente : ANGARITA SANGUINO CARLOS RENE
No.Alumnos: 35"
SA401,SA,25,Martes,09:00-10:00,1155705-B(31),No especificado,No especificado,31,"Carrera   : Ingenieria De Sistemas
Materia   : ANALISIS Y DISE?O DE SISTEMAS
Docente : RODRIGUEZ TENJO JUDITH DEL PILAR
No.Alumnos: 31"
SA401,SA,25,Miércoles,09:00-10:00,1154304-A(28),No especificado,No especificado,28,"Carrera   : Ingenieria De Sistemas
Materia   : ESTRUCTURA DE DATOS
Docente : ADARME JAIMES MARCO ANTONIO
No.Alumnos: 28"
SA401,SA,25,Jueves,09:00-10:00,1156805-A(20),No especificado,No especificado,20,"Carrera   : Ingenieria De Sistemas
Materia   : GERENCIA Y TECNOLOGIA
Docente : PARADA CARMEN JANETH 
No.Alumnos: 20"
SA401,SA,25,Viernes,09:00-10:00,1154104-A(26),No especificado,No especificado,26,"Carrera   : Ingenieria De Sistemas
Materia   : FUNDAMENTOS DE PROGRAMACION
Docente : PEREZ GUTIERREZ BORIS RAINIERO
No.Alumnos: 26"
SA401,SA,25,Lunes,10:00-11:00,1155609-B(27),No especificado,No especificado,27,"Carrera   : Ingenieria De Sistemas
Materia   : SEMINARIO INTEGRADOR II
Docente : LEAL PABON JESSICA LORENA
No.Alumnos: 27"
SA401,SA,25,Martes,10:00-11:00,1155604-A(34),No especificado,No especificado,34,"Carrera   : Ingenieria De Sistemas
Materia   : SISTEMAS OPERATIVOS
Docente : ADARME JAIMES MARCO ANTONIO
No.Alumnos: 34"
